project_id,attendance,study_hours,previous_performance,task_completion,pending_tasks,missed_deadlines,milestone_completion,days_remaining,team_size,project_type,planned_tasks,completed_tasks,project_progress,delay_risk
PROJ-1384,86.7,24.6,87.5,57.1,3,2,58.2,56,4,Web,7,4,40.0,LOW
PROJ-1385,37.9,,58.7,25.0,6,5,36.6,13,6,IoT,8,2,2.2,HIGH
PROJ-1386,100.0,28.9,86.4,77.8,2,1,70.2,71,6,Web,9,7,56.3,LOW
PROJ-1387,64.3,19.7,48.2,50.0,10,1,44.9,57,2,IoT,20,10,58.1,MEDIUM
PROJ-1388,65.1,,46.4,40.0,12,6,22.7,45,3,Research,20,8,22.2,HIGH
PROJ-1389,65.6,6.8,58.5,37.5,5,2,57.8,50,5,Research,8,3,55.4,MEDIUM
PROJ-1390,78.0,16.5,66.7,15.4,22,1,58.0,38,1,Research,26,4,34.7,MEDIUM
PROJ-1391,86.2,17.0,80.2,60.0,2,1,82.5,90,1,Mobile,5,3,89.6,LOW
PROJ-1392,,12.1,61.5,33.3,4,1,80.7,81,2,Web,6,2,100.0,LOW
PROJ-1393,63.7,13.9,62.8,50.0,3,4,42.0,53,6,IoT,6,3,75.7,MEDIUM
PROJ-1394,66.2,20.6,78.5,42.9,16,0,80.4,2,2,Research,28,12,86.9,LOW
PROJ-1395,41.0,7.1,18.4,33.3,4,1,19.0,15,7,AI,6,2,49.4,HIGH
PROJ-1396,88.8,12.7,21.4,41.4,17,1,50.8,1,3,Research,29,12,7.6,HIGH
PROJ-1397,70.2,26.6,86.5,78.6,3,1,74.3,51,6,Research,14,11,47.7,LOW
PROJ-1398,65.1,12.3,47.2,10.5,17,6,4.1,30,4,AI,19,2,21.9,HIGH
PROJ-1399,81.2,24.4,59.7,71.4,2,2,85.8,12,6,AI,7,5,58.5,LOW
PROJ-1400,85.7,11.7,54.5,57.9,8,4,54.9,47,6,AI,19,11,44.6,MEDIUM
PROJ-1401,61.0,2.9,55.6,58.3,5,0,46.1,51,2,Mobile,12,7,36.8,MEDIUM
PROJ-1402,63.1,3.4,54.7,14.3,6,4,47.8,4,5,Web,7,1,43.2,HIGH
PROJ-1403,66.8,,,35.7,9,1,29.5,28,1,Mobile,14,5,62.2,MEDIUM
PROJ-1404,84.8,27.9,59.8,81.0,4,1,58.1,61,6,Research,21,17,64.0,LOW
PROJ-1405,79.7,22.2,78.9,90.5,2,2,100.0,37,5,Web,21,19,74.0,LOW
PROJ-1406,63.0,7.7,58.9,9.5,19,2,2.1,11,4,Research,21,2,28.9,HIGH
PROJ-1407,99.3,13.4,64.8,86.4,3,0,100.0,31,6,Mobile,22,19,68.5,LOW
PROJ-1408,74.4,19.1,57.8,25.0,15,7,35.8,32,2,Mobile,20,5,13.6,HIGH
PROJ-1409,79.6,16.3,71.6,72.4,8,0,97.8,64,7,IoT,29,21,74.2,LOW
PROJ-1410,57.2,8.1,70.1,34.5,19,6,36.4,18,6,IoT,29,10,,HIGH
PROJ-1411,67.1,5.3,45.7,23.8,16,5,17.7,33,4,Web,21,5,23.1,HIGH
PROJ-1412,78.4,8.9,61.8,59.1,9,0,79.4,42,7,IoT,22,13,72.5,LOW
PROJ-1413,86.3,11.0,60.0,32.1,19,2,72.5,34,2,IoT,28,9,38.4,MEDIUM
PROJ-1414,88.2,14.8,65.4,65.0,7,0,,13,7,Web,20,13,70.4,MEDIUM
PROJ-1415,100.0,13.8,,46.2,7,4,46.4,1,5,IoT,13,6,59.5,MEDIUM
PROJ-1416,88.1,19.5,83.3,100.0,0,0,90.6,38,4,Research,23,23,86.3,LOW
PROJ-1417,73.3,19.0,68.8,35.3,11,4,53.6,38,4,Research,17,6,33.1,MEDIUM
PROJ-1418,73.4,13.5,58.0,58.3,5,3,84.1,11,6,Research,12,7,44.0,MEDIUM
PROJ-1419,68.9,17.8,72.7,39.1,14,7,59.3,29,5,IoT,23,9,45.9,MEDIUM
PROJ-1420,81.4,30.8,58.1,70.4,8,1,66.5,65,5,IoT,27,19,54.5,LOW
PROJ-1421,38.1,9.7,45.1,15.4,11,6,18.0,6,2,Mobile,13,2,44.4,HIGH
PROJ-1422,70.0,3.7,56.1,46.2,7,1,37.4,10,5,Web,13,6,71.0,HIGH
PROJ-1423,84.4,24.1,81.1,57.1,6,0,76.5,52,7,Mobile,14,8,69.7,LOW
PROJ-1424,76.4,17.6,56.7,62.5,3,2,38.7,47,7,Research,8,5,61.1,MEDIUM
PROJ-1425,45.1,1.0,37.5,66.7,6,2,21.9,49,3,Web,18,12,29.2,HIGH
PROJ-1426,83.8,6.6,77.5,83.3,4,1,52.2,35,5,Web,24,20,64.8,LOW
PROJ-1427,87.9,15.2,93.1,80.0,3,2,56.0,33,4,Research,15,12,57.8,LOW
PROJ-1428,72.3,18.8,70.0,47.4,10,1,40.3,8,1,Research,19,9,65.3,MEDIUM
PROJ-1429,79.5,9.9,60.3,69.0,9,3,70.8,34,6,Mobile,29,20,56.9,MEDIUM
PROJ-1430,66.4,20.1,63.8,75.0,6,3,59.2,22,2,Research,24,18,66.9,MEDIUM
PROJ-1431,90.9,6.7,69.2,66.7,2,0,86.5,62,1,Mobile,6,4,89.8,LOW
PROJ-1432,66.8,18.2,74.9,61.5,5,4,72.5,48,4,Mobile,13,8,31.3,MEDIUM
PROJ-1433,74.6,10.2,53.0,59.3,11,1,33.0,36,1,IoT,27,16,,MEDIUM
PROJ-1434,87.2,12.8,58.8,95.0,1,0,77.6,64,3,IoT,20,19,86.2,LOW
PROJ-1435,90.5,24.2,87.7,94.7,1,0,63.3,43,1,AI,19,18,58.1,LOW
PROJ-1436,92.5,8.4,64.2,81.2,3,1,40.9,41,2,IoT,16,13,69.9,LOW
PROJ-1437,63.7,15.7,64.9,54.2,11,2,62.4,26,6,AI,24,13,31.9,MEDIUM
PROJ-1438,79.5,,73.3,60.0,2,0,69.6,73,6,AI,5,3,77.2,LOW
PROJ-1439,83.7,27.3,83.6,85.7,2,0,69.6,57,4,Mobile,14,12,50.4,LOW
PROJ-1440,84.1,13.9,81.2,50.0,8,2,,19,5,Research,16,8,90.4,LOW
PROJ-1441,78.1,4.7,89.8,0.0,18,2,33.4,12,5,Research,18,0,43.6,HIGH
PROJ-1442,85.0,19.7,49.7,50.0,3,1,80.1,70,2,Research,6,3,79.3,LOW
PROJ-1443,80.4,18.2,69.6,85.7,1,1,80.3,57,7,AI,7,6,81.4,LOW
PROJ-1444,42.4,4.8,,30.8,9,4,12.6,1,6,Mobile,13,4,29.6,HIGH
PROJ-1445,65.2,22.5,66.7,63.6,4,1,24.0,42,7,Research,11,7,43.9,MEDIUM
PROJ-1446,68.9,10.6,74.3,20.0,4,2,39.2,35,5,Web,5,1,9.4,HIGH
PROJ-1447,65.1,14.7,43.2,41.7,7,5,42.2,47,5,Web,12,5,45.0,MEDIUM
PROJ-1448,45.6,1.0,67.9,40.0,6,5,69.1,58,5,Research,10,4,67.0,MEDIUM
PROJ-1449,91.6,29.5,88.2,73.3,4,3,,16,4,IoT,15,11,87.4,LOW
PROJ-1450,89.7,21.3,100.0,60.0,4,2,70.8,89,5,Mobile,10,6,48.1,LOW
PROJ-1451,100.0,24.3,90.5,75.0,2,0,55.5,35,7,Web,8,6,87.4,LOW
PROJ-1452,65.6,19.8,68.0,26.1,17,5,60.8,27,1,Web,23,6,42.0,MEDIUM
PROJ-1453,64.5,8.6,50.2,18.8,13,5,19.9,14,4,IoT,16,3,37.8,HIGH
PROJ-1454,63.9,17.7,50.9,38.5,8,2,43.9,39,3,Mobile,13,5,67.1,MEDIUM
PROJ-1455,61.1,1.5,39.7,48.0,13,5,70.8,16,1,Web,25,12,35.2,HIGH
PROJ-1456,75.2,16.1,73.5,72.7,3,1,89.9,46,3,Research,11,8,90.5,LOW
PROJ-1457,78.2,4.0,48.0,26.3,14,3,27.9,31,7,AI,19,5,32.4,HIGH
PROJ-1458,61.5,8.2,34.3,50.0,4,2,37.4,1,5,Research,8,4,,HIGH
PROJ-1459,64.9,5.0,81.0,40.0,6,0,17.0,10,2,IoT,10,4,32.2,HIGH
PROJ-1460,73.3,15.2,64.2,76.0,6,2,46.9,59,4,IoT,25,19,34.9,MEDIUM
PROJ-1461,74.6,17.4,47.0,22.7,17,1,74.5,7,3,AI,22,5,39.3,MEDIUM
PROJ-1462,83.4,14.8,88.5,55.6,12,3,51.6,56,5,AI,27,15,47.0,MEDIUM
PROJ-1463,88.5,14.7,68.3,66.7,4,1,58.4,34,3,Research,12,8,61.4,LOW
PROJ-1464,62.0,9.3,,60.0,10,3,38.1,37,7,AI,25,15,65.7,LOW
PROJ-1465,96.4,10.6,46.3,78.6,3,1,68.3,81,1,Web,14,11,47.5,LOW
PROJ-1466,88.5,21.4,64.5,72.7,3,1,35.6,70,3,IoT,11,8,89.9,LOW
PROJ-1467,94.2,17.7,63.7,69.2,4,3,70.6,13,1,Research,13,9,17.7,MEDIUM
PROJ-1468,71.1,5.1,46.0,0.0,17,7,16.6,10,1,Research,17,0,23.9,HIGH
PROJ-1469,76.0,18.7,80.6,81.8,4,0,74.5,39,4,AI,22,18,53.4,LOW
PROJ-1470,80.2,23.1,61.9,72.0,7,0,67.3,66,6,IoT,25,18,60.8,LOW
PROJ-1471,69.5,1.6,53.0,27.8,13,4,33.9,7,4,AI,18,5,12.4,HIGH
PROJ-1472,61.8,10.9,65.9,0.0,7,5,22.3,28,7,Research,7,0,40.2,HIGH
PROJ-1473,75.6,3.6,42.6,14.3,12,3,38.3,24,6,IoT,14,2,,HIGH
PROJ-1474,100.0,8.5,76.0,69.2,4,0,59.8,51,4,Research,13,9,72.6,LOW
PROJ-1475,60.3,14.7,52.0,45.0,11,3,34.2,66,4,AI,20,9,20.5,MEDIUM
PROJ-1476,98.3,20.6,89.9,82.4,3,0,63.7,31,5,AI,17,14,78.7,LOW
PROJ-1477,52.7,8.2,56.4,44.8,16,0,79.3,52,6,AI,29,13,58.4,MEDIUM
PROJ-1478,84.5,18.8,80.9,84.0,4,2,76.0,77,6,Research,25,21,67.1,LOW
PROJ-1479,68.6,,51.8,13.8,25,4,38.3,45,5,Mobile,29,4,26.8,HIGH
PROJ-1480,81.3,1.2,43.4,7.1,13,4,38.2,1,3,Mobile,14,1,19.0,HIGH
PROJ-1481,53.1,13.9,62.1,20.0,8,2,38.3,19,5,Web,10,2,40.3,HIGH
PROJ-1482,51.2,13.5,53.3,17.9,23,4,28.5,1,4,Mobile,28,5,23.1,HIGH
PROJ-1483,63.7,22.9,79.3,33.3,4,1,50.6,26,7,IoT,6,2,59.7,MEDIUM
PROJ-1484,79.5,5.2,73.7,0.0,27,3,21.0,60,7,Web,27,0,,HIGH
PROJ-1485,87.7,10.2,50.8,50.0,10,0,50.3,73,5,Research,20,10,38.0,LOW
PROJ-1486,94.8,12.9,83.4,53.3,7,0,85.5,32,7,IoT,15,8,94.1,LOW
PROJ-1487,50.7,11.9,57.1,40.0,6,5,17.0,10,3,AI,10,4,27.2,HIGH
PROJ-1488,64.0,8.3,82.8,47.6,11,3,76.7,20,2,AI,21,10,33.2,MEDIUM
PROJ-1489,55.9,17.7,62.1,50.0,5,4,49.3,55,6,Web,10,5,37.3,MEDIUM
PROJ-1490,73.4,22.1,58.1,87.5,1,1,65.6,41,1,AI,8,7,54.2,LOW
PROJ-1491,79.5,21.2,59.5,43.5,13,0,56.4,25,4,AI,23,10,45.9,MEDIUM
PROJ-1492,86.8,16.4,60.3,53.6,13,3,62.2,52,1,IoT,28,15,52.6,LOW
PROJ-1493,89.4,24.0,67.1,55.6,12,1,70.9,28,3,Web,27,15,76.6,LOW
PROJ-1494,65.2,15.8,64.4,46.2,7,1,47.0,70,4,AI,13,6,63.1,MEDIUM
PROJ-1495,88.0,21.7,95.4,62.5,9,1,62.9,90,4,IoT,24,15,81.7,LOW
PROJ-1496,62.4,8.2,44.1,66.7,7,3,32.0,40,7,Web,21,14,52.8,HIGH
PROJ-1497,70.3,21.1,86.8,85.7,1,1,51.6,77,1,AI,7,6,48.8,LOW
PROJ-1498,79.3,2.3,70.0,47.1,9,3,57.2,33,5,AI,17,8,51.9,MEDIUM
PROJ-1499,66.6,20.4,73.4,47.1,9,4,46.1,17,7,Web,17,8,35.0,MEDIUM
PROJ-1500,67.7,14.1,64.3,66.7,7,2,79.1,37,4,Research,21,14,53.8,MEDIUM
PROJ-1501,53.3,14.7,59.0,52.2,11,1,80.2,4,3,IoT,23,12,33.4,MEDIUM
PROJ-1502,79.1,6.6,69.1,40.0,12,1,35.6,81,4,Research,20,8,54.9,MEDIUM
PROJ-1503,58.9,8.5,61.6,20.0,16,3,33.1,54,3,Research,20,4,11.1,HIGH
PROJ-1504,71.0,16.5,73.8,100.0,0,0,66.9,45,6,IoT,12,12,70.5,LOW
PROJ-1505,70.7,12.4,61.6,42.9,12,4,52.8,57,5,AI,21,9,46.8,MEDIUM
PROJ-1506,67.2,,83.3,47.6,11,0,64.2,70,3,IoT,21,10,100.0,LOW
PROJ-1507,68.2,16.8,70.6,42.9,4,5,58.2,51,2,AI,7,3,38.1,MEDIUM
PROJ-1508,100.0,14.9,69.6,55.0,9,1,81.9,42,2,IoT,20,11,75.2,LOW
PROJ-1509,90.5,4.8,41.6,26.3,14,6,59.3,1,4,IoT,19,5,27.9,HIGH
PROJ-1510,75.9,21.4,,69.6,7,1,47.2,90,6,Web,23,16,69.1,LOW
PROJ-1511,73.2,3.5,76.1,20.8,19,10,31.0,1,2,Research,24,5,33.9,MEDIUM
PROJ-1512,55.0,11.4,65.5,63.2,7,2,46.4,29,6,IoT,19,12,18.3,MEDIUM
PROJ-1513,94.8,14.0,76.2,77.8,2,0,55.5,77,6,IoT,9,7,56.0,LOW
PROJ-1514,36.0,8.1,44.7,25.0,6,6,36.4,10,4,IoT,8,2,32.4,HIGH
PROJ-1515,97.0,,82.8,66.7,5,1,55.6,36,7,Web,15,10,72.2,LOW
PROJ-1516,71.9,22.7,73.3,69.2,4,0,38.1,32,1,Research,13,9,44.4,LOW
PROJ-1517,76.8,25.8,61.9,87.5,2,1,58.8,51,1,IoT,16,14,77.8,LOW
PROJ-1518,71.0,13.2,57.7,77.8,2,1,98.5,46,6,Web,9,7,59.7,LOW
PROJ-1519,66.5,15.1,67.2,48.1,14,3,49.2,32,6,Mobile,27,13,39.7,MEDIUM
PROJ-1520,73.7,16.6,68.2,55.6,8,1,21.0,35,6,Mobile,18,10,40.6,MEDIUM
PROJ-1521,93.4,13.0,65.1,58.8,7,4,38.3,48,3,Research,17,10,18.3,MEDIUM
PROJ-1522,90.0,16.3,77.0,36.4,7,4,38.8,48,4,Research,11,4,67.3,MEDIUM
PROJ-1523,94.7,7.2,75.1,83.3,3,3,64.9,59,3,Web,18,15,75.6,LOW
PROJ-1524,86.5,9.2,66.0,10.7,25,4,20.0,27,5,Mobile,28,3,34.9,HIGH
PROJ-1525,,,63.1,11.1,24,3,58.0,44,5,Mobile,27,3,44.3,MEDIUM
PROJ-1526,60.5,25.0,85.1,73.7,5,2,69.3,62,6,Mobile,19,14,79.1,LOW
PROJ-1527,57.4,13.0,36.0,20.0,4,8,37.0,10,7,AI,5,1,39.7,HIGH
PROJ-1528,81.5,14.8,100.0,84.6,2,0,77.0,38,4,Research,13,11,47.7,LOW
PROJ-1529,62.9,18.5,83.2,40.0,9,3,58.8,38,4,Mobile,15,6,40.1,MEDIUM
PROJ-1530,100.0,23.2,85.5,56.2,7,5,,70,5,Research,16,9,15.9,MEDIUM
PROJ-1531,69.3,18.9,47.5,65.2,8,2,53.0,47,2,Mobile,23,15,22.8,MEDIUM
PROJ-1532,53.8,8.5,39.3,29.6,19,6,0.0,38,3,Mobile,27,8,28.2,HIGH
PROJ-1533,68.9,26.2,,86.2,4,0,76.8,84,7,Research,29,25,65.4,LOW
PROJ-1534,78.0,16.0,77.0,50.0,13,3,7.3,27,4,IoT,26,13,41.5,MEDIUM
PROJ-1535,69.1,13.5,38.0,53.8,12,1,43.8,1,7,Mobile,26,14,42.9,MEDIUM
PROJ-1536,82.6,23.2,75.5,61.5,5,3,41.0,1,5,IoT,13,8,26.2,MEDIUM
PROJ-1537,60.3,11.0,58.9,60.9,9,4,56.5,64,7,Research,23,14,47.9,HIGH
PROJ-1538,70.3,11.8,88.2,57.1,3,2,86.6,46,5,Mobile,7,4,72.1,LOW
PROJ-1539,74.8,1.8,37.0,50.0,3,5,23.6,47,4,Web,6,3,61.3,MEDIUM
PROJ-1540,82.6,29.7,95.5,60.0,4,0,71.4,40,6,Mobile,10,6,53.6,LOW
PROJ-1541,82.2,1.7,64.7,20.0,4,2,76.8,10,5,Research,5,1,59.9,MEDIUM
PROJ-1542,71.8,23.9,78.7,63.6,8,2,82.1,54,4,Research,22,14,72.4,LOW
PROJ-1543,83.4,22.5,78.2,74.1,7,2,58.7,60,7,IoT,27,20,59.3,LOW
PROJ-1544,,11.6,69.8,16.7,5,8,58.3,88,3,Web,6,1,13.7,MEDIUM
PROJ-1545,72.2,16.8,87.3,82.4,3,0,47.3,43,4,Research,17,14,74.5,LOW
PROJ-1546,74.2,3.8,45.9,29.2,17,3,35.1,23,7,Mobile,24,7,68.6,MEDIUM
PROJ-1547,,19.2,88.1,40.0,3,0,60.4,52,7,Research,5,2,100.0,LOW
PROJ-1548,86.7,17.2,74.5,61.9,8,0,66.3,51,3,Mobile,21,13,82.7,LOW
PROJ-1549,78.9,11.3,62.6,85.7,1,2,78.4,40,7,Web,7,6,66.2,LOW
PROJ-1550,84.1,14.9,66.2,34.8,15,2,32.8,65,7,Mobile,23,8,87.7,MEDIUM
PROJ-1551,47.2,9.9,77.7,46.2,14,3,50.8,43,4,IoT,26,12,45.3,MEDIUM
PROJ-1552,77.5,20.7,60.4,50.0,8,1,8.7,50,4,Web,16,8,64.5,MEDIUM
PROJ-1553,53.0,5.6,54.5,25.0,6,5,18.2,21,6,Research,8,2,37.5,HIGH
PROJ-1554,80.7,12.6,73.7,50.0,3,2,78.9,14,3,Mobile,6,3,36.7,LOW
PROJ-1555,61.7,12.6,53.8,14.8,23,7,28.7,43,1,Research,27,4,8.9,HIGH
PROJ-1556,76.8,22.1,95.1,79.2,5,1,85.0,54,3,Web,24,19,64.3,LOW
PROJ-1557,52.4,13.0,39.2,28.6,15,8,43.6,18,6,IoT,21,6,19.5,HIGH
PROJ-1558,42.6,16.9,65.4,53.6,13,2,79.9,50,7,Web,28,15,47.7,MEDIUM
PROJ-1559,90.6,16.3,42.0,50.0,3,4,75.1,48,6,AI,6,3,27.0,MEDIUM
PROJ-1560,55.2,5.3,23.3,23.8,16,5,41.6,15,2,Research,21,5,26.6,HIGH
PROJ-1561,68.1,4.4,77.0,47.1,9,6,49.1,9,7,IoT,17,8,55.3,HIGH
PROJ-1562,80.5,24.4,100.0,53.6,13,0,49.1,19,6,Web,28,15,58.7,LOW
PROJ-1563,57.7,15.0,80.9,50.0,9,1,36.2,37,7,IoT,18,9,,MEDIUM
PROJ-1564,82.7,11.3,42.4,50.0,7,1,81.9,29,2,IoT,14,7,73.0,MEDIUM
PROJ-1565,59.9,4.2,,58.8,7,2,49.9,83,4,AI,17,10,48.6,MEDIUM
PROJ-1566,75.9,13.5,49.7,82.1,5,4,53.3,40,6,IoT,28,23,52.9,MEDIUM
PROJ-1567,63.4,22.5,68.3,25.0,6,0,43.1,39,6,Mobile,8,2,69.1,MEDIUM
PROJ-1568,64.9,6.3,47.4,31.0,20,3,43.9,9,7,IoT,29,9,8.8,HIGH
PROJ-1569,32.5,14.9,31.3,20.0,4,8,27.8,24,6,AI,5,1,74.9,HIGH
PROJ-1570,66.4,15.7,,0.0,5,5,36.9,46,5,AI,5,0,5.8,MEDIUM
PROJ-1571,84.6,19.2,74.3,60.0,8,3,51.1,40,2,AI,20,12,52.9,LOW
PROJ-1572,40.9,5.1,74.8,31.0,20,7,49.3,21,5,AI,29,9,2.2,HIGH
PROJ-1573,73.7,22.4,69.5,66.7,5,0,48.6,83,3,AI,15,10,75.4,LOW
PROJ-1574,,19.6,57.1,30.0,7,2,59.3,23,5,IoT,10,3,63.5,MEDIUM
PROJ-1575,67.8,18.3,54.7,50.0,3,2,56.8,1,3,Web,6,3,49.9,MEDIUM
PROJ-1576,,9.6,61.8,25.0,6,5,32.3,15,1,AI,8,2,3.5,HIGH
PROJ-1577,68.1,2.6,48.5,0.0,19,2,31.0,41,3,Web,19,0,0.0,HIGH
PROJ-1578,86.8,15.5,90.4,60.0,4,0,,60,2,IoT,10,6,71.7,LOW
PROJ-1579,60.9,14.7,56.9,42.9,4,5,51.3,56,1,AI,7,3,40.2,MEDIUM
PROJ-1580,78.1,28.7,82.3,54.2,11,0,86.3,36,3,IoT,24,13,82.3,LOW
PROJ-1581,72.0,7.3,49.2,26.9,19,4,28.8,29,2,IoT,26,7,35.8,HIGH
PROJ-1582,62.5,10.7,32.1,33.3,10,4,38.5,25,7,Mobile,15,5,28.0,HIGH
PROJ-1583,41.4,4.2,41.0,36.0,16,6,17.7,38,4,Web,25,9,16.4,HIGH
PROJ-1584,61.4,5.2,29.5,38.9,11,8,44.5,18,5,Research,18,7,19.0,HIGH
PROJ-1585,78.0,10.6,65.0,5.3,18,4,9.2,63,3,Web,19,1,18.9,HIGH
PROJ-1586,66.7,25.4,77.7,78.6,3,0,55.6,64,4,AI,14,11,85.5,LOW
PROJ-1587,73.2,16.2,80.2,50.0,7,0,98.8,88,1,Mobile,14,7,70.5,LOW
PROJ-1588,33.3,11.1,67.8,21.4,11,1,10.0,21,1,AI,14,3,0.0,HIGH
PROJ-1589,56.2,8.1,52.5,3.6,27,2,31.6,2,3,IoT,28,1,13.4,HIGH
PROJ-1590,59.0,3.4,73.2,44.4,5,1,69.2,16,6,Research,9,4,47.6,MEDIUM
PROJ-1591,63.9,15.2,64.9,60.7,11,1,17.4,1,7,Web,28,17,8.4,MEDIUM
PROJ-1592,87.5,9.3,,45.5,6,3,78.6,12,7,Web,11,5,49.4,MEDIUM
PROJ-1593,55.9,5.0,63.4,50.0,5,2,18.7,55,4,IoT,10,5,10.1,HIGH
PROJ-1594,76.1,19.1,80.2,47.8,12,0,10.7,63,6,IoT,23,11,23.9,MEDIUM
PROJ-1595,57.6,1.0,49.4,14.3,12,6,13.3,25,5,Research,14,2,29.0,HIGH
PROJ-1596,62.6,9.9,58.0,52.9,8,6,18.2,49,4,Web,17,9,61.0,HIGH
PROJ-1597,67.7,21.4,62.0,60.9,9,4,52.9,21,1,AI,23,14,26.5,MEDIUM
PROJ-1598,81.8,13.6,90.1,37.5,15,0,100.0,49,4,Web,24,9,80.6,LOW
PROJ-1599,68.7,18.1,61.7,26.7,11,3,40.9,11,2,Mobile,15,4,34.2,MEDIUM
PROJ-1600,76.6,11.9,55.1,31.6,13,4,59.8,52,1,Web,19,6,32.9,HIGH
PROJ-1601,81.3,5.2,44.0,12.5,7,2,38.7,38,6,Web,8,1,,HIGH
PROJ-1602,80.1,8.7,71.5,45.0,11,4,17.5,42,7,IoT,20,9,42.6,MEDIUM
PROJ-1603,43.3,18.1,25.5,16.7,10,4,18.8,22,3,Research,12,2,8.1,HIGH
PROJ-1604,83.1,29.2,67.4,25.0,6,0,88.3,36,3,AI,8,2,59.3,LOW
PROJ-1605,63.1,8.1,34.8,33.3,10,3,6.1,56,7,Web,15,5,34.6,HIGH
PROJ-1606,84.9,17.9,68.8,18.2,9,0,25.3,16,4,AI,11,2,55.6,MEDIUM
PROJ-1607,72.4,5.9,72.9,50.0,6,1,39.1,29,5,Research,12,6,48.4,MEDIUM
PROJ-1608,72.3,7.5,59.5,53.8,12,3,34.6,1,7,Web,26,14,,HIGH
PROJ-1609,73.7,9.4,74.0,76.0,6,1,34.1,45,2,Mobile,25,19,44.8,MEDIUM
PROJ-1610,77.2,25.3,51.6,57.1,3,0,61.7,16,4,Mobile,7,4,66.1,LOW
PROJ-1611,77.7,17.5,72.1,60.0,2,3,81.8,57,7,Web,5,3,39.5,LOW
PROJ-1612,71.4,18.2,58.2,61.9,8,1,34.9,19,5,Research,21,13,56.0,MEDIUM
PROJ-1613,75.4,13.2,80.9,48.1,14,1,45.5,70,6,Mobile,27,13,57.6,LOW
PROJ-1614,79.7,12.1,86.7,25.0,15,2,68.9,57,2,Research,20,5,38.8,MEDIUM
PROJ-1615,64.2,13.5,33.2,56.5,10,3,52.0,1,7,AI,23,13,38.1,MEDIUM
PROJ-1616,66.7,11.2,75.9,25.0,18,1,64.2,33,7,Research,24,6,31.9,MEDIUM
PROJ-1617,70.6,27.1,68.8,60.0,10,0,74.4,62,7,Mobile,25,15,40.6,LOW
PROJ-1618,71.4,,71.9,57.1,3,2,71.7,62,4,IoT,7,4,40.3,MEDIUM
PROJ-1619,78.7,17.8,61.6,57.9,8,1,57.0,55,2,Web,19,11,70.7,LOW
PROJ-1620,65.5,24.1,77.6,83.3,4,1,65.6,17,4,Web,24,20,,LOW
PROJ-1621,73.5,11.6,,4.8,20,5,42.0,15,4,IoT,21,1,20.8,HIGH
PROJ-1622,98.3,18.8,83.8,66.7,5,0,69.2,54,4,Mobile,15,10,61.8,LOW
PROJ-1623,84.8,10.9,97.9,37.5,5,5,26.1,33,1,IoT,8,3,21.1,MEDIUM
PROJ-1624,83.5,31.0,72.9,81.2,3,0,52.6,90,6,Web,16,13,66.4,LOW
PROJ-1625,70.0,10.4,87.3,62.5,3,1,48.8,22,4,Research,8,5,58.7,LOW
PROJ-1626,57.3,,62.8,38.5,16,5,14.9,21,1,Mobile,26,10,11.2,MEDIUM
PROJ-1627,76.5,10.6,57.3,51.9,13,2,64.3,32,3,AI,27,14,68.8,MEDIUM
PROJ-1628,78.5,27.0,70.9,44.8,16,4,51.5,29,5,IoT,29,13,40.1,MEDIUM
PROJ-1629,68.0,18.8,31.4,62.5,3,1,44.0,30,5,Mobile,8,5,63.6,MEDIUM
PROJ-1630,73.1,8.0,64.5,60.9,9,3,62.5,21,2,Web,23,14,68.9,MEDIUM
PROJ-1631,60.1,16.5,57.0,55.6,4,0,41.6,13,2,AI,9,5,26.5,MEDIUM
PROJ-1632,70.5,11.0,77.7,53.3,7,5,58.9,1,5,IoT,15,8,78.5,MEDIUM
PROJ-1633,50.7,21.4,67.7,33.3,12,3,20.9,2,1,Mobile,18,6,36.2,MEDIUM
PROJ-1634,71.8,11.0,65.3,14.3,24,6,29.1,2,7,Web,28,4,21.2,HIGH
PROJ-1635,67.8,12.2,65.6,58.8,7,2,52.2,60,1,Mobile,17,10,55.2,MEDIUM
PROJ-1636,76.5,18.6,60.4,84.2,3,2,96.0,90,5,IoT,19,16,41.5,LOW
PROJ-1637,74.0,10.9,75.6,50.0,3,4,69.1,27,7,Research,6,3,66.7,LOW
PROJ-1638,62.1,14.9,56.6,45.5,6,4,50.4,42,1,IoT,11,5,35.9,MEDIUM
PROJ-1639,93.6,23.9,61.3,84.6,2,0,74.6,10,1,Research,13,11,76.5,LOW
PROJ-1640,82.5,18.1,82.0,79.2,5,1,65.0,47,2,Mobile,24,19,49.2,LOW
PROJ-1641,56.4,11.8,66.9,50.0,4,1,55.7,53,3,Research,8,4,50.7,MEDIUM
PROJ-1642,64.9,12.1,58.1,27.3,8,5,16.0,10,1,Mobile,11,3,41.7,HIGH
PROJ-1643,74.1,21.3,76.2,75.0,7,1,26.9,44,5,IoT,28,21,66.4,MEDIUM
PROJ-1644,78.1,,80.9,46.2,7,0,89.6,35,6,IoT,13,6,97.4,LOW
PROJ-1645,46.9,25.8,65.9,59.3,11,2,44.9,31,3,Mobile,27,16,40.6,MEDIUM
PROJ-1646,,25.4,72.6,88.9,1,1,59.9,16,4,AI,9,8,64.8,LOW
PROJ-1647,81.2,16.3,59.0,25.0,6,1,49.0,53,6,Mobile,8,2,64.6,MEDIUM
